,title,price,Desc
90,Suzuki Alto Japan S HYBRID 2018,"Rs 4,690,000","Colombo, "
91,Suzuki Alto New Face 2016,"Rs 2,785,000","Colombo, "
92,Suzuki Alto 2006,"Rs 2,150,000","Kegalle, "
93,Suzuki Alto 2004,"Rs 2,150,000","Galle, "
94,Suzuki Alto 800 LXI 2015,"Rs 2,650,000","Colombo, "
95,Suzuki Alto Kl 2011,"Rs 2,150,000","Badulla, "
96,Suzuki Alto 2004,"Rs 2,650,000","Gampaha, "
97,Suzuki Alto 2007,"Rs 1,900,000","Colombo, "
98,Suzuki Alto 2005,"Rs 2,390,000","Colombo, "
99,Suzuki Alto LXI 2015,"Rs 2,760,000","Gampaha, "
100,Suzuki Alto Japanese-X grade 2017,"Rs 4,500,000","Gampaha, "
101,Suzuki Alto 800 2015,"Rs 3,150,000","Matara, "
102,Suzuki Alto K10 2016 B/N,"Rs 3,790,000","Colombo, "
103,Suzuki Alto 2011,"Rs 2,895,000","Colombo, "
104,Suzuki Alto 2015,"Rs 2,950,000","Gampaha, "
105,Suzuki Alto 2008,"Rs 3,365,000","Colombo, "
106,Suzuki Alto Japan 2007,"Rs 3,400,000","Kurunegala, "
107,Suzuki Alto Japan Sport 2017,"Rs 4,450,000","Colombo, "
108,Suzuki Alto 2012,"Rs 2,425,000","Kurunegala, "
109,Suzuki Alto JAPAN HYBRID 2018,"Rs 4,500,000","Colombo, "
110,Suzuki Alto 2016,"Rs 2,850,000","Colombo, "
111,Suzuki Alto 2016 Frist owner,"Rs 2,675,000","Colombo, "
112,Suzuki Alto 2014,"Rs 2,400,000","Colombo, "
113,Suzuki Alto 2015,"Rs 2,650,000","Colombo, "
114,Suzuki Alto 800 2015,"Rs 2,750,000","Anuradhapura, "
115,Suzuki Alto Sport Model 2016,"Rs 2,950,000","Puttalam, "
116,Suzuki Alto 2014,"Rs 2,500,000","Gampaha, "
117,Suzuki Alto 2015,"Rs 2,650,000","Kalutara, "
118,Suzuki Alto Lxi 2011,"Rs 2,475,000","Matale, "
119,Suzuki Alto L Grade 2018,"Rs 4,590,000","Colombo, "
120,Suzuki Alto Smart Plus 2017,"Rs 3,350,000","Gampaha, "
121,Maruti Suzuki Alto 2014,"Rs 2,800,000","Ratnapura, "
122,Suzuki Alto Japan Mazda Carol 2017,"Rs 4,160,000","Colombo, "
123,Suzuki Alto K10 2010,"Rs 2,650,000","Colombo, "
124,Suzuki Alto LXI 2015,"Rs 2,590,000","Colombo, "
125,Suzuki Alto Lxi 2016,"Rs 3,200,000","Gampaha, "
126,Suzuki Alto k10 2012,"Rs 2,400,000","Gampaha, "
127,Suzuki Alto 2011,"Rs 2,600,000","Kurunegala, "
128,Suzuki Alto 2005,"Rs 1,895,000","Colombo, "
129,Suzuki Alto 800 2011,"Rs 2,450,000","Kandy, "
130,Suzuki Alto 2015,"Rs 2,595,000","Kandy, "
131,Suzuki Alto 2016,"Rs 2,800,000","Colombo, "
132,Suzuki Alto JAPAN S ENE CHARGE 2018,"Rs 4,850,000","Colombo, "
133,Suzuki Alto LXI 800 2015,"Rs 3,200,000","Colombo, "
134,Suzuki Alto K10 2011,"Rs 2,400,000","Galle, "
135,Suzuki Alto LXI 800 2016,"Rs 2,890,000","Colombo, "
136,Suzuki Alto Lxi 800 2010,"Rs 2,190,000","Gampaha, "
137,Maruti Suzuki Alto 2015,"Rs 2,525,000","Gampaha, "
138,Suzuki Alto 2015,"Rs 2,700,000","Gampaha, "
139,Suzuki Alto 2006,"Rs 2,450,000","Matara, "
140,Suzuki Alto 2015,"Rs 2,750,000","Gampaha, "
141,Maruti Suzuki Alto 2015,"Rs 2,525,000","Gampaha, "
142,Suzuki Alto 800 2015,"Rs 3,150,000","Jaffna, "
143,Suzuki Alto 2015,"Rs 2,600,000","Colombo, "
144,Suzuki Alto 2012,"Rs 2,650,000","Colombo, "
145,Suzuki Alto 2007,"Rs 1,925,000","Kalutara, "
146,Suzuki Alto 2015,"Rs 2,400,000","Kurunegala, "
147,Suzuki Alto 2015,"Rs 2,750,000","Anuradhapura, "
148,Suzuki Alto 2015,"Rs 3,375,000","Colombo, "
149,Maruti Suzuki Alto Lxi 2015,"Rs 2,660,000","Kandy, "
150,Suzuki Alto K10 VXI 2015,"Rs 3,500,000","Colombo, "
151,Suzuki Alto 2014,"Rs 4,500,000","Hambantota, "
152,Suzuki Alto Automatic 2008,"Rs 2,895,000","Gampaha, "
153,Suzuki Alto 2012,"Rs 2,000,000","Colombo, "
154,Suzuki Alto 2008,"Rs 2,195,000","Gampaha, "
155,Suzuki Alto Japanies 2008,"Rs 3,000,000","Kandy, "
156,Suzuki Alto 2011,"Rs 2,800,000","Colombo, "
157,Suzuki Alto 2014,"Rs 2,600,000","Colombo, "
158,Suzuki Alto 2015,"Rs 2,625,000","Colombo, "
159,Suzuki Alto Japan 2004,"Rs 2,750,000","Gampaha, "
160,Suzuki Alto LXI 1997,"Rs 1,600,000","Kandy, "
161,Suzuki Alto 2006,"Rs 1,950,000","Kurunegala, "
162,Suzuki Alto 2015,"Rs 2,590,000","Colombo, "
163,Suzuki Alto Japan 2010,"Rs 3,650,000","Gampaha, "
164,Suzuki Alto 2015,"Rs 3,050,000","Colombo, "
165,Suzuki Alto 2017,"Rs 3,300,000","Colombo, "
166,Suzuki Alto LXI 2015,"Rs 2,890,000","Colombo, "
167,Suzuki Alto Safety 2017,"Rs 4,125,000","Colombo, "
168,Suzuki Alto Japan S HYBRID 2020,"Rs 4,850,000","Colombo, "
169,Suzuki Alto 800 2011,"Rs 2,475,000","Vavuniya, "
170,Suzuki Alto LXI 2011,"Rs 2,466,600","Matara, "
171,Suzuki Alto 2003,"Rs 3,150,000","Puttalam, "
172,Suzuki Alto Full option 2003,"Rs 3,150,000","Kandy, "
173,Suzuki Alto 2015,"Rs 3,000,000","Puttalam, "
174,Suzuki Alto 2014,"Rs 2,510,100","Colombo, "
175,Maruti Suzuki Alto LXI 2012,"Rs 2,390,000","Colombo, "
176,Suzuki Alto 2014,"Rs 3,000,000","Gampaha, "
177,Suzuki Alto LXI 2015,"Rs 3,350,000","Kandy, "
178,Suzuki Alto 2016,"Rs 3,200,000","Gampaha, "
179,Suzuki Alto 2015,"Rs 3,325,000","Gampaha, "
180,Suzuki Alto 2014,"Rs 2,842,000","Polonnaruwa, "
181,Suzuki Alto Sport 2015,"Rs 3,100,000","Kurunegala, "
182,Suzuki Alto lxi 800 2015,"Rs 3,050,000","Kurunegala, "
183,Suzuki Alto 2014,"Rs 3,850,000","Kalutara, "
184,Suzuki Alto 2006,"Rs 2,275,000","Gampaha, "
185,Maruti Suzuki Alto 2017,"Rs 3,000,000","Colombo, "
186,Suzuki Alto vx 2014,"Rs 3,100,000","Gampaha, "
187,Suzuki Alto 2015,"Rs 3,900,000","Colombo, "
188,Suzuki Alto Manual 2015,"Rs 3,290,000","Colombo, "
189,Suzuki Alto Japan L Grade 2018,"Rs 4,585,000","Galle, "
190,Suzuki Alto Lxi 2015,"Rs 3,050,000","Colombo, "
191,Suzuki Alto 800lxi 2015,"Rs 3,345,000","Gampaha, "
192,Suzuki Alto Japan 2016,"Rs 4,000,000","Gampaha, "
193,Suzuki Alto japan 2006,"Rs 3,450,000","Gampaha, "
194,Suzuki Alto 2015,"Rs 2,650,000","Polonnaruwa, "
195,Suzuki Alto AMW 2015,"Rs 3,200,000","Kandy, "
196,Suzuki Alto 2016,"Rs 3,290,000","Gampaha, "
197,Suzuki Alto 2013,"Rs 3,000,000","Gampaha, "
198,Suzuki Alto LXI 800 2015,"Rs 3,125,000","Colombo, "
199,Suzuki Alto Self-starter 2015,"Rs 3,025,000","Kandy, "
200,Suzuki Alto 2015,"Rs 3,190,000","Colombo, "
201,Suzuki Alto K10 2015,"Rs 3,500,000","Colombo, "
202,Suzuki Alto 2015,"Rs 3,000,000","Colombo, "
203,Suzuki Alto Japan 2002,"Rs 2,275,000","Colombo, "
204,Suzuki Alto LXI 800 2015,"Rs 3,500,000","Matale, "
205,Suzuki Alto 2015,"Rs 2,490,000","Jaffna, "
206,Suzuki Alto 2018,"Rs 4,700,000","Gampaha, "
207,Suzuki Alto LXI 800 2015,"Rs 2,745,000","Kurunegala, "
208,Suzuki Alto 2015,"Rs 3,000,000","Kurunegala, "
209,Maruti Suzuki Alto Grey 2015,"Rs 3,100,000","Colombo, "
210,Suzuki Alto 2015,"Rs 2,700,000","Colombo, "
211,Suzuki Alto Lxi 2015,"Rs 3,300,000","Kurunegala, "
212,Suzuki Alto 2015,"Rs 2,625,000","Anuradhapura, "
213,Suzuki Alto Lxi 800 2015,"Rs 3,370,000","Gampaha, "
214,Suzuki Alto K10 2015,"Rs 3,200,000","Kandy, "
215,Suzuki Alto 800 2015,"Rs 2,795,000","Kandy, "
216,Suzuki Alto LXI 800 2016,"Rs 3,200,000","Gampaha, "
217,Suzuki Alto K10 VXI sport 2015,"Rs 3,475,000","Colombo, "
218,Suzuki Alto japan 2017,"Rs 4,100,000","Gampaha, "
219,Suzuki Alto 2016,"Rs 3,400,000","Gampaha, "
220,Suzuki Alto 2017,"Rs 3,350,000","Puttalam, "
221,Suzuki Alto Japan 1998,"Rs 1,925,000","Galle, "
222,Suzuki Alto 2015,"Rs 2,825,000","Gampaha, "
223,Suzuki Alto 2015,"Rs 3,200,000","Kurunegala, "
224,Suzuki Alto 2015,"Rs 3,000,000","Gampaha, "
225,Suzuki Alto Japan 2017,"Rs 4,475,000","Kandy, "
226,Suzuki Alto 2015,"Rs 3,200,000","Galle, "
227,Suzuki Alto Lxi800 2010,"Rs 2,225,000","Colombo, "
228,Suzuki Alto 2013,"Rs 2,250,000","Gampaha, "
229,Suzuki Alto 800 2015,"Rs 2,900,000","Kilinochchi, "
230,Suzuki Alto 2015,"Rs 2,888,000","Ratnapura, "
231,Suzuki Alto KO 2011,"Rs 2,290,000","Colombo, "
232,Suzuki Alto 2014,"Rs 3,350,000","Gampaha, "
233,Suzuki Alto K10 2010,"Rs 2,450,000","Kalutara, "
234,Suzuki Alto Works 2016,"Rs 5,800,000","Kalutara, "
235,Suzuki Alto 2015,"Rs 3,050,000","Galle, "
236,Suzuki Alto 2015,"Rs 2,600,000","Kalutara, "
237,Suzuki Alto 2015,"Rs 2,875,000","Matara, "
238,Maruti Suzuki Alto 2016,"Rs 3,200,000","Kandy, "
239,Suzuki Alto 2015,"Rs 3,000,000","Colombo, "
240,Suzuki Alto japan 2007,"Rs 3,075,000","Kandy, "
241,Suzuki Alto 2016,"Rs 3,400,000","Galle, "
